date,VOO,QQQ,VEA,IEMG,SGOV,IEF,SCHP,DBMF,SGOL,BITB,CAOS,VXUS,BND
2013-01-02,106.085548,60.095097,23.889769,37.732574,80.021184,79.325531,20.459871,16.288517,16.636000,,71.727287,32.096687,56.674908
2013-01-03,105.990227,59.782078,23.649599,37.491695,80.021184,78.917770,20.333208,16.328692,16.437000,,71.727287,31.828039,56.506042
2013-01-04,106.434898,59.585350,23.783028,37.512959,80.038645,78.954796,20.347271,16.324678,16.358000,,71.742939,31.928778,56.593861
2013-01-07,106.149017,59.603237,23.662937,37.300415,80.003706,78.999298,20.393017,16.308606,16.254999,,71.711621,31.794476,56.553333
2013-01-08,105.831436,59.486977,23.536192,37.038284,80.003706,79.192062,20.424685,16.296549,16.370001,,71.711621,31.606407,56.607361
2013-01-09,106.149017,59.710560,23.649599,37.222485,80.003706,79.236565,20.473942,16.308606,16.360001,,71.711621,31.787739,56.587074
2013-01-10,106.927223,60.068264,23.976490,37.491695,80.003706,79.006744,20.424685,16.340749,16.514000,,71.711621,32.183998,56.587074
2013-01-11,106.974861,60.148754,24.016525,37.187054,80.003706,79.258804,20.466909,16.324678,16.416000,,71.711621,32.177296,56.627651
2013-01-14,106.879585,59.880451,24.049875,37.335842,80.003706,79.229149,20.456356,16.264407,16.469000,,71.711621,32.197426,56.627651
2013-01-15,106.927223,59.585350,24.016525,37.130386,80.003706,79.421951,20.502090,16.176014,16.573000,,71.711621,32.096687,56.701935
2013-01-16,106.927223,59.826817,23.869755,37.123299,80.003706,79.525665,20.491545,16.159941,16.579000,,71.711621,31.948936,56.695171
2013-01-17,107.594223,60.112938,24.069899,37.378349,80.021184,79.162445,20.445793,16.224228,16.650999,,71.727287,32.231018,56.600624
2013-01-18,107.895958,59.978828,24.056545,37.385441,80.003706,79.384865,20.491545,16.224228,16.622999,,71.711621,32.244442,56.688396
2013-01-22,108.419998,60.077213,24.069899,37.335842,80.003706,79.451530,20.495064,16.212176,16.686001,,71.711621,32.237724,56.634377
2013-01-23,108.578865,60.443851,24.023190,37.144554,80.003706,79.488632,20.488018,16.220209,16.638000,,71.711621,32.143707,56.722210
2013-01-24,108.642372,59.612186,24.163292,37.038284,80.021184,79.355156,20.470419,16.352802,16.455000,,71.727287,32.264595,56.641163
2013-01-25,109.245872,59.916252,24.430134,36.932018,80.003706,78.828819,20.382465,16.356819,16.382000,,71.711621,32.432499,56.458752
2013-01-28,109.118828,60.050373,24.290047,36.641552,80.003706,78.665688,20.347271,16.372891,16.333000,,71.711621,32.177296,56.391193
2013-01-29,109.563454,60.059334,24.470165,37.066628,80.003706,78.547058,20.305061,16.441194,16.409000,,71.711621,32.492943,56.330406
2013-01-30,109.134697,59.934128,24.496855,36.861172,80.003706,78.591553,20.315617,16.453251,16.532000,,71.711621,32.445930,56.269611
2013-01-31,108.880569,59.799999,24.403463,36.896603,80.021184,78.658325,20.357830,16.481372,16.429001,,71.727287,32.372055,56.370937
2013-02-01,109.928734,60.506454,24.596920,37.158733,80.003706,78.391060,20.276909,16.513515,16.462000,,71.711621,32.687710,56.212547
2013-02-04,108.721779,59.451191,24.149954,36.684059,80.003706,78.843903,20.407093,16.445214,16.511999,,71.711621,32.136978,56.408825
2013-02-05,109.833496,60.327621,24.256691,36.861172,80.021184,78.561836,20.340244,16.513515,16.507999,,71.727287,32.257874,56.314079
2013-02-06,109.928734,60.130844,24.256691,36.790325,80.021184,78.799377,20.378948,16.533605,16.554001,,71.727287,32.331764,56.449474
2013-02-07,109.785828,60.184521,24.069899,36.514027,80.021184,78.836464,20.371908,16.517534,16.497999,,71.727287,32.056393,56.456230
2013-02-08,110.389305,60.801567,24.236677,36.790325,80.021184,78.895828,20.350801,16.545662,16.464001,,71.727287,32.210861,56.442684
2013-02-11,110.341667,60.819447,24.216665,36.719482,80.021184,78.814148,20.340244,16.613965,16.278999,,71.727287,32.197426,56.374992
2013-02-12,110.516380,60.569035,24.316727,36.769073,80.021184,78.732513,20.322649,16.690305,16.295000,,71.727287,32.311607,56.388523
2013-02-13,110.611641,60.783680,24.403463,36.960358,80.003706,78.457840,20.276909,16.666197,16.209999,,71.711621,32.432499,56.314079
2013-02-14,110.770485,60.765774,24.263353,36.981609,80.021184,78.791908,20.315617,16.710397,16.138000,,71.727287,32.284729,56.395302
2013-02-15,110.627487,60.586964,24.176626,36.875343,80.003706,78.717705,20.269880,16.710397,15.882000,,71.711621,32.217575,56.347939
2013-02-19,111.389801,61.025105,24.476841,36.854088,80.003706,78.591492,20.245247,16.702354,15.834000,,71.711621,32.499672,56.327652
2013-02-20,110.008141,60.086182,24.250011,36.584866,80.021184,78.762222,20.241732,16.634055,15.440000,,71.727287,32.291458,56.368237
2013-02-21,109.484077,59.442276,23.876419,36.237728,80.003706,78.918121,20.276909,16.561730,15.556000,,71.711621,31.740732,56.422359
2013-02-22,110.436897,60.041447,24.230001,36.436092,80.021184,79.014618,20.308577,16.577803,15.591000,,71.727287,32.103401,56.449474
