date,VOO,QQQ,VEA,IEMG,SGOV,IEF,SCHP,DBMF,SGOL,BITB,CAOS,VXUS,BND
2013-01-02,,,,,,,,,,,,,
2013-01-03,-0.089861,-0.520828,-1.005308,-0.638395,0.0,-0.514001,-0.619105,0.246668,-1.196197,,0.0,-0.83702,-0.298095
2013-01-04,0.419555,-0.329107,0.564181,0.056694,0.021818,0.046939,0.069269,-0.024609,-0.480626,,0.021818,0.316545,0.15541
2013-01-07,-0.268576,0.030064,-0.504958,-0.566577,-0.043596,0.056374,0.224749,-0.098473,-0.629665,,-0.043596,-0.420684,-0.071596
2013-01-08,-0.299227,-0.19507,-0.535611,-0.702756,0.0,0.24402,0.155272,-0.07387,0.707485,,0.0,-0.591471,0.095537
2013-01-09,0.300125,0.375795,0.48185,0.497324,0.0,0.056137,0.241197,0.073925,-0.061089,,0.0,0.57373,-0.035779
2013-01-10,0.733111,0.599121,1.382234,0.723258,0.0,-0.290078,-0.240617,0.197113,0.941316,,0.0,1.246543,0.0
2013-01-11,0.04453,0.133909,0.166945,-0.812558,0.0,0.319032,0.206699,-0.098349,-0.593433,,0.0,-0.020813,0.071679
2013-01-14,-0.089042,-0.445958,0.138902,0.400057,0.0,-0.037374,-0.051561,-0.369176,0.322853,,0.0,0.062608,0.0
2013-01-15,0.044572,-0.492868,-0.13871,-0.55025,0.0,0.243293,0.223615,-0.543499,0.63149,,0.0,-0.312913,0.131178
2013-01-16,0.0,0.405245,-0.611131,-0.019068,0.0,0.130637,-0.051454,-0.099344,0.036207,,0.0,-0.460336,-0.011927
2013-01-17,0.623753,0.4783,0.838467,0.687016,0.021792,-0.456786,-0.223213,0.397805,0.434276,,0.021792,0.882896,-0.166779
2013-01-18,0.280473,-0.223134,-0.055438,0.018952,-0.021787,0.281014,0.223712,0.0,-0.168157,,-0.021787,0.041685,0.155043
2013-01-22,0.48569,0.164007,0.055469,-0.132689,0.0,0.08393,0.017096,-0.074295,0.379003,,0.0,-0.020798,-0.095235
2013-01-23,0.146494,0.610304,-0.194016,-0.512324,0.0,0.046729,-0.034278,0.049571,-0.287668,,0.0,-0.291708,0.154984
2013-01-24,0.058496,-1.37593,0.583149,-0.286078,0.021792,-0.167813,-0.085872,0.817434,-1.099895,,0.021792,0.376109,-0.142848
2013-01-25,0.555507,0.510035,1.104375,-0.286919,-0.021787,-0.663364,-0.429708,0.024579,-0.443634,,-0.021787,0.520432,-0.321951
2013-01-28,-0.116327,0.223854,-0.573451,-0.786479,0.0,-0.206902,-0.172577,0.098246,-0.299107,,0.0,-0.786922,-0.119639
2013-01-29,0.407532,0.014903,0.741556,1.160112,0.0,-0.150847,-0.207551,0.41718,0.465317,,0.0,0.98101,-0.107898
2013-01-30,-0.391367,-0.208458,0.109038,-0.554319,0.0,0.056666,0.051991,0.073308,0.749584,,0.0,-0.144708,-0.107866
2013-01-31,-0.232829,-0.223768,-0.381246,0.09612,0.021792,0.084922,0.207865,0.170964,-0.623026,,0.021792,-0.227723,0.180086
2013-02-01,0.962659,1.18137,0.792782,0.710416,-0.021787,-0.339758,-0.397576,0.194993,0.200858,,-0.021787,0.975131,-0.280949
2013-02-04,-1.097943,-1.744026,-1.817202,-1.277372,0.0,0.577645,0.642006,-0.413614,0.303725,,0.0,-1.684851,0.349163
2013-02-05,1.022485,1.474131,0.441969,0.482784,0.021792,-0.357792,-0.327515,0.415332,-0.024223,,0.021792,0.376212,-0.168044
2013-02-06,0.08676,-0.326124,0.0,-0.192167,0.0,0.302363,0.190223,0.12168,0.278661,,0.0,0.22898,0.240406
2013-02-07,-0.130047,0.089247,-0.77005,-0.751029,0.0,0.047096,-0.034519,-0.097202,-0.338297,,0.0,-0.851647,0.011994
2013-02-08,0.549721,1.025226,0.692901,0.756712,0.0,0.075371,-0.103613,0.170259,-0.206076,,0.0,0.481877,-0.024038
2013-02-11,-0.043154,0.029444,-0.082584,-0.192568,0.0,-0.103551,-0.051837,0.412817,-1.123672,,0.0,-0.041687,-0.119862
2013-02-12,0.15829,-0.411718,0.413216,0.135064,0.0,-0.103552,-0.086551,0.459519,0.098291,,0.0,0.354594,0.024039
2013-02-13,0.086251,0.354344,0.356672,0.52019,-0.021787,-0.348902,-0.225059,-0.144467,-0.521638,,-0.021787,0.374178,-0.132085
2013-02-14,0.143543,-0.029377,-0.574085,0.05753,0.021792,0.425722,0.190901,0.265202,-0.444162,,0.021792,-0.455599,0.144268
2013-02-15,-0.12899,-0.294374,-0.357425,-0.287369,-0.021787,-0.094105,-0.225174,0.0,-1.586321,,-0.021787,-0.208064,-0.084028
2013-02-19,0.68904,0.723255,1.241716,-0.057631,0.0,-0.160329,-0.121473,-0.04808,-0.302231,,0.0,0.875552,-0.036018
2013-02-20,-1.240404,-1.538678,-0.926734,-0.730498,0.021792,0.217191,-0.017406,-0.408951,-2.488317,,0.021792,-0.640582,0.072137
2013-02-21,-0.476365,-1.071612,-1.540563,-0.948866,-0.021787,0.197916,0.173814,-0.434787,0.751296,,-0.021787,-1.705526,0.096032
2013-02-22,0.870282,1.007962,1.480885,0.547418,0.021792,0.122367,0.156199,0.09703,0.224993,,0.021792,1.142628,0.047957
2013-02-25,-1.883748,-1.236196,-2.340339,-1.438862,-0.021787,0.770408,0.519744,-0.654394,0.930027,,-0.021787,-1.98746,0.323764
2013-02-26,0.674134,0.37701,0.733021,0.749665,0.0,-0.186551,-0.258547,-0.073189,1.201068,,0.0,0.811127,0.047833
2013-02-27,1.252006,1.021634,1.259457,0.939866,0.021792,-0.04661,-0.034586,0.195332,-1.023549,,0.021792,1.12217,-0.023965
2013-02-28,-0.115015,-0.208178,-0.055245,-0.523774,0.0,0.140144,0.121015,-0.243669,-1.027786,,0.0,-0.230345,0.047841
2013-03-01,0.259131,0.417225,-0.221253,0.253527,0.0,0.249435,0.310796,0.170973,-0.333334,,0.0,-0.08394,0.054989
2013-03-04,0.559901,0.445316,0.44347,-0.680775,-0.021787,-0.232968,-0.206531,-0.219454,-0.128637,,-0.021787,0.105019,-0.023745
2013-03-05,0.856655,1.477452,0.965775,0.979227,0.021792,-0.102828,0.155219,0.195503,0.173882,,0.021792,0.965181,-0.059961
2013-03-06,0.18405,-0.247483,0.245962,0.446079,-0.021787,-0.317936,-0.292764,0.243887,0.430726,,-0.021787,0.270147,-0.167537
2013-03-07,0.183698,0.262754,0.299928,0.270337,0.021792,-0.384535,-0.259027,-0.0973,-0.364871,,0.021792,0.290137,-0.143865
2013-03-08,0.394924,0.11647,0.217417,0.751019,-0.021787,-0.508571,-0.484835,0.316609,0.019276,,-0.021787,0.268651,-0.276158
2013-03-11,0.365274,0.290796,0.271211,-0.458731,0.021792,0.047292,0.069579,-0.242789,0.179855,,0.021792,0.123688,-0.048155
2013-03-12,-0.223944,-0.362458,-0.432764,-1.017688,-0.021787,0.274415,0.086928,-0.146029,0.782256,,-0.021787,-0.514624,0.192773
2013-03-13,0.140267,-0.130988,-0.217322,-0.795359,0.021792,-0.084938,0.034754,0.26811,-0.330831,,0.021792,-0.331072,-0.120217
