date,me_net_value,me_gross_value,benchmark_value,me_drawdown_pct,benchmark_drawdown_pct
2014-09-17,100.0,100.0,112.2231,0.0,0.0
2014-09-18,99.9603,99.9603,112.5954,-0.04,0.0
2014-09-19,99.6159,99.6159,112.516,-0.384,-0.071
2014-09-22,99.3176,99.3176,112.0742,-0.682,-0.463
2014-09-23,99.5015,99.5015,111.69,-0.499,-0.804
2014-09-24,99.7605,99.7605,112.1498,-0.24,-0.396
2014-09-25,98.8375,98.8375,111.1715,-1.162,-1.265
2014-09-26,99.1153,99.1153,111.6107,-0.885,-0.875
2014-09-29,98.5507,98.5507,111.3435,-1.449,-1.112
2014-09-30,98.6148,98.6148,111.1494,-1.385,-1.284
2014-10-01,97.839,98.0351,110.4865,-2.161,-1.873
2014-10-02,97.6101,97.8057,110.2988,-2.39,-2.04
2014-10-03,97.8108,98.0069,110.7921,-2.189,-1.602
2014-10-06,97.4747,97.6701,111.0069,-2.525,-1.411
2014-10-07,96.9178,97.1121,110.1277,-3.082,-2.192
2014-10-08,98.081,98.2776,111.3157,-1.919,-1.137
2014-10-09,97.2472,97.4421,109.8258,-2.753,-2.46
2014-10-10,96.5367,96.7301,109.019,-3.463,-3.176
2014-10-13,96.3977,96.5909,108.4691,-3.602,-3.665
2014-10-14,96.6193,96.8129,108.6371,-3.381,-3.516
2014-10-15,96.2628,96.4557,108.2422,-3.737,-3.866
2014-10-16,95.8956,96.0877,108.0212,-4.104,-4.062
2014-10-17,96.485,96.6784,108.7958,-3.515,-3.375
2014-10-20,97.0315,97.226,109.4006,-2.968,-2.837
2014-10-21,97.871,98.0671,110.3878,-2.129,-1.961
2014-10-22,97.5333,97.7288,109.9178,-2.467,-2.378
2014-10-23,97.6217,97.8174,110.4516,-2.378,-1.904
2014-10-24,97.9849,98.1812,110.9416,-2.015,-1.469
2014-10-27,97.7845,97.9805,110.7336,-2.215,-1.654
2014-10-28,98.4049,98.6021,111.5604,-1.595,-0.919
2014-10-29,97.9076,98.1038,111.2887,-2.092,-1.161
2014-10-30,98.3012,98.4982,111.7439,-1.699,-0.756
2014-10-31,98.7038,98.9016,112.5217,-1.296,-0.065
2014-11-03,98.5371,98.7346,112.3282,-1.463,-0.237
2014-11-04,98.4228,98.62,112.0415,-1.577,-0.492
2014-11-05,98.595,98.7925,112.4156,-1.405,-0.16
2014-11-06,98.7181,98.9159,112.3442,-1.282,-0.223
2014-11-07,98.8877,99.0859,112.5797,-1.112,-0.014
2014-11-10,99.2406,99.4394,112.6817,-0.759,0.0
2014-11-11,99.36,99.5591,112.8524,-0.64,0.0
2014-11-12,100.008,100.2084,112.6879,0.0,-0.146
2014-11-13,100.0888,100.2893,112.8061,0.0,-0.041
2014-11-14,100.0218,100.2222,112.9083,-0.067,0.0
2014-11-17,99.7603,99.9602,112.8152,-0.328,-0.082
2014-11-18,100.0031,100.2035,113.3557,-0.086,0.0
2014-11-19,99.863,100.0632,113.114,-0.226,-0.213
2014-11-20,99.6707,99.8705,113.1781,-0.418,-0.157
2014-11-21,100.0567,100.2572,113.803,-0.032,0.0
2014-11-24,100.5758,100.7773,113.9291,0.0,0.0
2014-11-25,100.5457,100.7472,114.044,-0.03,0.0
2014-11-26,100.6929,100.8947,114.3311,0.0,0.0
2014-11-28,100.6623,100.864,114.0362,-0.03,-0.258
2014-12-01,100.4054,100.6066,113.5481,-0.286,-0.685
2014-12-02,100.5075,100.709,113.7908,-0.184,-0.473
2014-12-03,100.6004,100.802,113.9901,-0.092,-0.298
2014-12-04,100.5244,100.7259,113.9544,-0.167,-0.329
