date,me_net_value,me_gross_value,benchmark_value,me_drawdown_pct,benchmark_drawdown_pct
2022-01-03,100.0,100.0,100.0,0.0,0.0
2022-01-04,99.7018,99.7018,100.0039,-0.298,0.0
2022-01-05,98.3345,98.3345,98.9002,-1.665,-1.104
2022-01-06,98.1757,98.1757,98.7483,-1.824,-1.256
2022-01-07,97.9116,97.9116,98.5909,-2.088,-1.413
2022-01-10,97.7221,97.7221,98.3597,-2.278,-1.644
2022-01-11,98.5279,98.5279,99.0633,-1.472,-0.941
2022-01-12,98.881,98.881,99.401,-1.119,-0.603
2022-01-13,97.904,97.904,98.7488,-2.096,-1.255
2022-01-14,98.0576,98.0576,98.5233,-1.942,-1.481
2022-01-18,97.1065,97.1065,97.2972,-2.893,-2.707
2022-01-19,96.755,96.755,97.0062,-3.245,-2.998
2022-01-20,96.2562,96.2562,96.5766,-3.744,-3.427
2022-01-21,94.7892,94.7892,95.7045,-5.211,-4.299
2022-01-24,94.7953,94.7953,95.5706,-5.205,-4.433
2022-01-25,94.3398,94.3398,94.9994,-5.66,-5.004
2022-01-26,94.0474,94.0474,94.5769,-5.953,-5.427
2022-01-27,93.7409,93.7409,94.3868,-6.259,-5.617
2022-01-28,94.8666,94.8666,95.4101,-5.133,-4.594
2022-01-31,95.8941,95.8941,96.4209,-4.106,-3.583
2022-02-01,96.2101,96.2101,96.8167,-3.79,-3.187
2022-02-02,96.4371,96.4371,97.3354,-3.563,-2.668
2022-02-03,95.209,95.209,96.0165,-4.791,-3.987
2022-02-04,95.9724,95.9724,95.9808,-4.028,-4.023
2022-02-07,95.9837,95.9837,95.9184,-4.016,-4.085
2022-02-08,96.3554,96.3554,96.2057,-3.645,-3.798
2022-02-09,97.2694,97.2694,97.1067,-2.731,-2.897
2022-02-10,96.2656,96.2656,95.8517,-3.734,-4.152
2022-02-11,95.5992,95.5992,95.0848,-4.401,-4.919
2022-02-14,95.4544,95.4544,94.63,-4.546,-5.374
2022-02-15,96.269,96.269,95.4893,-3.731,-4.514
2022-02-16,96.3786,96.3786,95.6738,-3.621,-4.33
2022-02-17,95.0496,95.0496,94.6925,-4.95,-5.311
2022-02-18,94.6896,94.6896,94.4032,-5.31,-5.6
2022-02-22,94.0929,94.0929,93.7532,-5.907,-6.25
2022-02-23,93.2382,93.2382,92.7231,-6.762,-7.281
2022-02-24,94.0056,94.0056,93.1108,-5.994,-6.893
2022-02-25,94.9615,94.9615,94.3493,-5.038,-5.654
2022-02-28,95.4261,95.4261,94.299,-4.574,-5.705
2022-03-01,95.2901,95.2901,93.6052,-4.71,-6.398
2022-03-02,95.7816,95.7816,93.9787,-4.218,-6.025
2022-03-03,95.2454,95.2454,93.6819,-4.755,-6.322
2022-03-04,94.4585,94.4585,93.1,-5.542,-6.904
2022-03-07,93.3071,93.3071,91.2722,-6.693,-8.731
2022-03-08,93.4455,93.4455,90.9261,-6.555,-9.077
2022-03-09,94.5802,94.5802,92.3502,-5.42,-7.653
2022-03-10,93.9824,93.9824,91.7608,-6.018,-8.243
2022-03-11,93.3145,93.3145,91.0652,-6.686,-8.938
2022-03-14,92.656,92.656,90.4306,-7.344,-9.573
2022-03-15,93.2237,93.2237,91.3804,-6.776,-8.623
2022-03-16,94.7217,94.7217,93.0012,-5.278,-7.002
2022-03-17,95.289,95.289,93.5745,-4.711,-6.429
2022-03-18,95.9489,95.9489,94.3078,-4.051,-5.696
2022-03-21,95.9315,95.9315,93.781,-4.068,-6.223
2022-03-22,96.8347,96.8347,94.3195,-3.165,-5.684
2022-03-23,96.6162,96.6162,93.8107,-3.384,-6.193
2022-03-24,97.2264,97.2264,94.4455,-2.774,-5.558
2022-03-25,97.3256,97.3256,94.2912,-2.674,-5.713
2022-03-28,97.8178,97.8178,94.6286,-2.182,-5.375
2022-03-29,98.5316,98.5316,95.646,-1.468,-4.358
2022-03-30,98.2174,98.2174,95.4249,-1.783,-4.579
2022-03-31,97.2401,97.2401,94.5577,-2.76,-5.446
2022-04-01,97.2865,97.4815,94.7862,-2.713,-5.217
2022-04-04,98.0348,98.2313,95.2915,-1.965,-4.712
2022-04-05,97.0997,97.2943,94.1746,-2.9,-5.829
2022-04-06,96.1425,96.3352,93.4401,-3.857,-6.564
2022-04-07,96.3173,96.5103,93.5398,-3.683,-6.464
2022-04-08,96.044,96.2365,93.2548,-3.956,-6.749
2022-04-11,94.9522,95.1425,92.212,-5.048,-7.792
2022-04-12,94.9599,95.1502,92.0951,-5.04,-7.909
2022-04-13,95.8367,96.0288,92.7709,-4.163,-7.233
2022-04-14,95.0281,95.2186,91.9438,-4.972,-8.06
2022-04-18,95.1957,95.3865,91.7614,-4.804,-8.242
2022-04-19,95.8445,96.0366,92.1563,-4.155,-7.847
2022-04-20,95.6132,95.8048,92.4234,-4.387,-7.58
2022-04-21,94.8526,95.0427,91.4353,-5.147,-8.568
2022-04-22,93.5782,93.7657,90.1015,-6.422,-9.902
2022-04-25,93.6973,93.8851,90.4018,-6.303,-9.602
