column,proxy,start,obs
VOO,VFINX (S&P 500),1980-02-29,559
QQQ,QQQ / ^NDX price (1985),1985-11-30,490
VEA,VGTSX total-intl (1996; EM overlap),1996-05-31,364
IEMG,VEIEX emerging (1994),1994-06-30,387
IEF,VFITX int. Treasury (1991),1991-11-30,418
SCHP,VIPSX / VFITX bridge pre-2000,1991-11-30,418
SGOL,spot gold (gold_spot.csv),1968-02-29,702
BENCH_US,VFINX (S&P 500),1980-02-29,559
BENCH_INTL,VGTSX total-intl (1996),1996-05-31,364
BENCH_BOND,VBMFX total bond (1986),1987-01-31,476
SGOV,^IRX T-bill,1975-02-28,619
CAOS,^IRX T-bill,1975-02-28,619
DBMF,BTOP50 (trend_index.csv),1987-01-31,475
