date,value
1987-01-31,0.11
1987-02-28,-0.0067
1987-03-31,0.0176
1987-04-30,0.1453
1987-05-31,0.0088
1987-06-30,0.0017
1987-07-31,0.0479
1987-08-31,-0.0013
1987-09-30,-0.0075
1987-10-31,-0.0045
1987-11-30,0.0977
1987-12-31,0.0696
1988-01-31,-0.0367
1988-02-29,0.011
1988-03-31,-0.0019
1988-04-30,-0.0393
1988-05-31,0.0559
1988-06-30,0.1293
1988-07-31,-0.0176
1988-08-31,0.0078
1988-09-30,0.0066
1988-10-31,0.0222
1988-11-30,0.0007
1988-12-31,0.0105
1989-01-31,0.0337
1989-02-28,-0.036
1989-03-31,0.0255
1989-04-30,-0.017
1989-05-31,0.0731
1989-06-30,-0.0017
1989-07-31,0.0004
1989-08-31,-0.0392
1989-09-30,-0.0132
1989-10-31,-0.0302
1989-11-30,0.0131
1989-12-31,0.0311
1990-01-31,0.0008
1990-02-28,0.0044
1990-03-31,0.0123
1990-04-30,0.0299
1990-05-31,-0.0315
1990-06-30,0.0022
1990-07-31,0.0363
1990-08-31,0.0493
1990-09-30,0.0229
1990-10-31,0.0208
1990-11-30,0.0074
1990-12-31,-0.0094
1991-01-31,-0.0493
1991-02-28,0.0024
1991-03-31,0.0561
1991-04-30,0.0058
1991-05-31,-0.0238
1991-06-30,0.0287
1991-07-31,-0.0185
1991-08-31,-0.005
1991-09-30,0.0444
1991-10-31,-0.0146
1991-11-30,0.0146
1991-12-31,0.1063
1992-01-31,-0.0663
1992-02-29,-0.0232
1992-03-31,-0.003
1992-04-30,-0.0316
1992-05-31,0.0027
1992-06-30,0.0584
1992-07-31,0.074
1992-08-31,0.0515
1992-09-30,-0.0208
1992-10-31,-0.0047
1992-11-30,0.0129
1992-12-31,-0.0157
1993-01-31,-0.0091
1993-02-28,0.0687
1993-03-31,-0.0048
1993-04-30,0.0317
1993-05-31,0.0125
1993-06-30,0.0112
1993-07-31,0.0314
1993-08-31,-0.0015
1993-09-30,-0.0089
1993-10-31,-0.0092
1993-11-30,-0.0091
1993-12-31,0.0166
1994-01-31,-0.031
1994-02-28,-0.0215
1994-03-31,0.0209
1994-04-30,-0.0083
1994-05-31,0.0212
1994-06-30,0.0348
1994-07-31,-0.0199
1994-08-31,-0.0299
1994-09-30,0.0103
1994-10-31,0.0087
1994-11-30,0.0137
1994-12-31,-0.0065
1995-01-31,-0.0268
1995-02-28,0.0293
